Post URL,Image URL,Likes,Comments,Caption,Date,#moon,#photography,#photooftheday,#sky,#pubity,#viral,#polls,#morocco,#gordonramsay,#youdecide,#holidays,#homealone,#newyork,#christmas,#SonicMovie3,#godfather,#movie,#trending,#netflix,#strangerthings,#tv
https://www.instagram.com/p/C-qhXOyIuDM/,https://instagram.fsin14-2.fna.fbcdn.net/v/t51.29350-15/455010550_3963848177180600_4639714287896318460_n.jpg?stp=dst-jpg_e35_tt6&_nc_ht=instagram.fsin14-2.fna.fbcdn.net&_nc_cat=108&_nc_ohc=yCO6AMajgRcQ7kNvgHTkusn&_nc_gid=30ce1129c3c94164bfa13dcf9fc56845&edm=AEhyXUkBAAAA&ccb=7-5&ig_cache_key=MzQzNDcwNDM4ODY3ODA1NzcwMg%3D%3D.3-ccb7-5&oh=00_AYA13hnGpf0bctOwUfPRIBDFgRawIv4yAikiLdK8mmb3AQ&oe=676BFAB3&_nc_sid=8f1549,1271480,2687,"Swipe ⬅️ to see the series of him packing the moon into his trunk 🌕

(Via @daniel_antoniol)

-
#moon #photography #photooftheday #sky #pubity",2024-08-14 20:51:32,1,1,1,1,1,,,,,,,,,,,,,,,,
https://www.instagram.com/p/C_CDSp5y-RY/,https://instagram.fsin14-2.fna.fbcdn.net/v/t51.29350-15/456641088_1160898428320932_2051904053683973840_n.jpg?stp=dst-jpg_e35_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi4xMzUweDE2ODcuc2RyLmYyOTM1MC5kZWZhdWx0X2ltYWdlIn0&_nc_ht=instagram.fsin14-2.fna.fbcdn.net&_nc_cat=100&_nc_ohc=5njkvHUm_N4Q7kNvgFEh0Co&_nc_gid=30ce1129c3c94164bfa13dcf9fc56845&edm=AEhyXUkBAAAA&ccb=7-5&ig_cache_key=MzQ0MTMyNzU0MTM0NzY3MzE3Ng%3D%3D.3-ccb7-5&oh=00_AYB9t5OL49fQ0_f71dJ8engeAXHsXNlOm55Si22iJjqINw&oe=676BDD64&_nc_sid=8f1549,1793579,5248,An important reminder from Keanu Reeves to enjoy the moment and stop treating yourself like an afterthought. ❤️,2024-08-24 00:10:33,0,0,0,0,0,,,,,,,,,,,,,,,,
https://www.instagram.com/p/C9f6E7hI9Hb/,https://instagram.fsin14-1.fna.fbcdn.net/v/t39.30808-6/451483130_18460429603044850_3694542558357207815_n.jpg?stp=dst-jpg_e35_p1080x1080_sh0.08_tt6&_nc_ht=instagram.fsin14-1.fna.fbcdn.net&_nc_cat=110&_nc_ohc=895pOk5I2WgQ7kNvgFovjCw&_nc_gid=30ce1129c3c94164bfa13dcf9fc56845&edm=AEhyXUkAAAAA&ccb=7-5&ig_cache_key=MzQxMzcwMjQ1MzIyOTcwMTI5MQ%3D%3D.3-ccb7-5&oh=00_AYA-wNXRBSYFeQm7natrvK0ZYWR1eAZfumQbA2KlVZS9bg&oe=676BD90B&_nc_sid=8f1549,605414,42740,"Swipe ➡️ to see Gordon Ramsay announce the winner 🏆🇲🇦

Our fans voted for Moroccan cuisine as the ‘best cuisine in the world’ in a 60% vs 40% decision over Mexico.

Millions of you voted! Thank you for being a part of the @pubity community and thank you to @gordongram for announcing the winner!

-
#viral #polls #morocco #gordonramsay #youdecide #pubity",2024-07-16 21:24:27,0,0,0,0,1,1,1,1,1,1,,,,,,,,,,,
https://www.instagram.com/p/DD0kd4PS9at/,https://instagram.fsin14-2.fna.fbcdn.net/v/t51.2885-15/470917047_18491044795044850_603556038607632874_n.jpg?stp=dst-jpg_e15_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi4xMTcweDIwODAuc2RyLmY3NTc2MS5kZWZhdWx0X2NvdmVyX2ZyYW1lIn0&_nc_ht=instagram.fsin14-2.fna.fbcdn.net&_nc_cat=1&_nc_ohc=XtN6fCOaEkcQ7kNvgFd-Yko&_nc_gid=30ce1129c3c94164bfa13dcf9fc56845&edm=AEhyXUkBAAAA&ccb=7-5&ig_cache_key=MzUyNzYwNDc5MTA2MzMzNjYyMQ%3D%3D.3-ccb7-5&oh=00_AYBnnU1jWF5LCg4hJr-38R0PceGLB_mxKFn4udYk7q-UFQ&oe=676BD920&_nc_sid=8f1549,17394,871,"Bro is getting some air🤣🤣

ViralHog",2024-12-21 01:09:02,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
https://www.instagram.com/p/DD0beR7yNdt/,https://instagram.fsin14-2.fna.fbcdn.net/v/t51.29350-15/470910340_612636764557569_3514628008889304063_n.jpg?stp=dst-jpg_e35_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi4xMzUweDE2ODguc2RyLmYyOTM1MC5kZWZhdWx0X2ltYWdlIn0&_nc_ht=instagram.fsin14-2.fna.fbcdn.net&_nc_cat=1&_nc_ohc=OwVfLN9uowwQ7kNvgH4aAI9&_nc_gid=30ce1129c3c94164bfa13dcf9fc56845&edm=AEhyXUkBAAAA&ccb=7-5&ig_cache_key=MzUyNzU2NTIzNjIzNDY3MTk4MQ%3D%3D.3-ccb7-5&oh=00_AYCbGCKT_mk_KCI3XxOxhtatggEAkpEBB4wl7l9ZaNhrOg&oe=676BF11C&_nc_sid=8f1549,72849,1242,"Party City, the largest party supply retailer in the U.S., is shutting down all operations after nearly 40 years in business. 🎈❌

CEO Barry Litwin announced the immediate wind-down in a meeting on December 20, leaving corporate employees without severance pay or benefits. The company had been struggling with inflation, rising costs, and declining consumer spending, compounded by $800 million in remaining debt after exiting bankruptcy in 2023.

Store closures will begin in February 2025, with all locations set to cease operations by the end of the month. 

Employees expressed frustration at the lack of communication, as management had previously assured them of the company’s stability. The closure follows years of competition from e-commerce platforms and big-box retailers like Amazon and Walmart, as well as seasonal rivals like Spirit Halloween.

Party City, known for its balloons and party supplies, had over 800 stores and employed approximately 16,500 people. Despite efforts to stay afloat, including leadership changes and debt restructuring, the financial challenges proved insurmountable, marking the end of an era for the iconic retailer.",2024-12-20 23:49:27,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
https://www.instagram.com/p/DD0H3AdIkiX/,https://instagram.fsin14-2.fna.fbcdn.net/v/t51.29350-15/470916992_1002893821882738_1794694766888387359_n.jpg?stp=dst-jpg_e35_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi4xMzQ3eDE2Nzkuc2RyLmYyOTM1MC5kZWZhdWx0X2ltYWdlIn0&_nc_ht=instagram.fsin14-2.fna.fbcdn.net&_nc_cat=1&_nc_ohc=vK6c1tOcFPcQ7kNvgHi9ogD&_nc_gid=30ce1129c3c94164bfa13dcf9fc56845&edm=AEhyXUkBAAAA&ccb=7-5&ig_cache_key=MzUyNzQ3ODk3NDUyMzUyNTI3MQ%3D%3D.3-ccb7-5&oh=00_AYDI3eKxPjAbVlu9qrmYrFNJfinJNnGlrRaFZL1EgTsUAw&oe=676C097A&_nc_sid=8f1549,73414,715,"Hollywood delivered some massive hits in 2024. 🎬 Here’s a look at the top-grossing movies so far, that dominated the box office.

Which one was your favorite⁉️🍿",2024-12-20 20:58:04,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
https://www.instagram.com/p/DDzy7SXoJQ-/,https://instagram.fsin14-2.fna.fbcdn.net/v/t51.29350-15/470946269_3853678911561110_4465359797172085174_n.jpg?stp=dst-jpg_e35_tt6&_nc_ht=instagram.fsin14-2.fna.fbcdn.net&_nc_cat=1&_nc_ohc=efLZfHakKBsQ7kNvgFAkGTw&_nc_gid=30ce1129c3c94164bfa13dcf9fc56845&edm=AEhyXUkBAAAA&ccb=7-5&ig_cache_key=MzUyNzM4Njg5MTMxMzk5MjgwNA%3D%3D.3-ccb7-5&oh=00_AYDYCBGaTrw6eZoRQgiWFxPi8N_MdCwl6-UCFYNMVVlfDw&oe=676BE92B&_nc_sid=8f1549,140893,488,"Swipe ➡️ Man recreates the iconic Home Alone 2 New York food experience for his family, featuring classic treats like pizza, hot dogs, and ice cream sundaes 🎄🗽🍕

(🎥 by @scott and @sequinspandex)

-

#holidays #homealone #newyork #christmas #pubity",2024-12-20 17:55:09,0,0,0,0,1,0,0,0,0,0,1,1,1,1,,,,,,,
https://www.instagram.com/p/DDzsqHRIdHi/,https://instagram.fsin14-2.fna.fbcdn.net/v/t51.29350-15/470936053_1102096441419543_7762422623311853244_n.jpg?stp=dst-jpg_e35_tt6&_nc_ht=instagram.fsin14-2.fna.fbcdn.net&_nc_cat=1&_nc_ohc=WnZ61KTHOesQ7kNvgEe-Wk3&_nc_gid=30ce1129c3c94164bfa13dcf9fc56845&edm=AEhyXUkBAAAA&ccb=7-5&ig_cache_key=MzUyNzE3NzA5Mzk4MDkzNDM5OA%3D%3D.3-ccb7-5&oh=00_AYDHV0vboiSPkqFOodkmVhb2Qvk6KVKeAt4YTKrpMJqrrw&oe=676C064D&_nc_sid=8f1549,45718,105,"Knuckles and Tails gotta step in and help Sonic out!

Watch Sonic 3 in theaters everywhere now! @SonicMovie #SonicMovie3",2024-12-20 17:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,
https://www.instagram.com/p/DDzlIXqISEi/,https://instagram.fsin14-2.fna.fbcdn.net/v/t51.29350-15/470932895_1265483471354923_799162225283952095_n.jpg?stp=dst-jpg_e35_tt6&_nc_ht=instagram.fsin14-2.fna.fbcdn.net&_nc_cat=1&_nc_ohc=SQDqpNr8rMAQ7kNvgGzbZiT&_nc_gid=30ce1129c3c94164bfa13dcf9fc56845&edm=AEhyXUkBAAAA&ccb=7-5&ig_cache_key=MzUyNzMyNjIyNDM5NzQ0Mjg3OA%3D%3D.3-ccb7-5&oh=00_AYCyHqyP9nRUIvDLC3MTY4m6A1T9tsa4gDqklAt9SVnHgA&oe=676BF201&_nc_sid=8f1549,100142,452,"Swipe ➡️ 50 years ago today, The Godfather Part II was released in theaters, solidifying its legacy as one of cinema’s greatest sequels 🎬🔥

-

#godfather #movie #trending #pubity",2024-12-20 15:54:36,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,,,
https://www.instagram.com/p/DDzUbRwImBk/,https://instagram.fsin14-2.fna.fbcdn.net/v/t51.29350-15/470908727_608431624864417_6301746108843804289_n.jpg?stp=dst-jpg_e35_tt6&_nc_ht=instagram.fsin14-2.fna.fbcdn.net&_nc_cat=1&_nc_ohc=6XLsUt2-eCUQ7kNvgFDUKZL&_nc_gid=30ce1129c3c94164bfa13dcf9fc56845&edm=AEhyXUkBAAAA&ccb=7-5&ig_cache_key=MzUyNzI1Mjc1NTczNTUxMDMzOA%3D%3D.3-ccb7-5&oh=00_AYDWkyF_It6qJk7Q_-ZEkILp-kRR88JAd1zQ_BXTisjWiA&oe=676C09EF&_nc_sid=8f1549,423658,2076,"Filming for the fifth and final season of Stranger Things has wrapped, marking the end of the iconic Netflix series. 🎥

Set to release in 2025, the season promises surprises, as hints suggest a timeline spanning 1987 to 1989.

Are you excited ⁉️

-

#netflix #strangerthings #tv #pubity",2024-12-20 13:28:38,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
